0,69009,PUNGGOL COAST INT,SENTUL WK,
0,65719,BLK 432B,NEW PUNGGOL RD,
0,65681,BEF NORTHSHORE CRES,NORTHSHORE DR,
0,65669,NORTHSHORE PR SCH,NORTHSHORE DR,
0,65621,SAMUDERA STN EXIT B,PUNGGOL WAY,
0,65611,NIBONG STN EXIT B,PUNGGOL WAY,
0,65601,SUMANG STN EXIT B,PUNGGOL CTRL,
0,65499,BLK 259 CP,SUMANG WALK,
0,65539,BLK 224A,SUMANG LANE,
0,65549,OPP BLK 228B,SUMANG CRESCENT,
0,65559,OPP BLK 227A,PUNGGOL FIELD,
0,65579,BLK 258A,PUNGGOL FIELD,
0,65431,TWIN WATERFALLS,PUNGGOL WAY,
0,67591,BLK 286B,SENGKANG EAST RD,
0,67411,OPP SENGKANG GENERAL HOSP,SENGKANG EAST RD,
0,67441,SENGKANG COMMUNITY HUB,SENGKANG EAST RD,
0,67611,BLK 204C,SENGKANG CTRL,
0,67601,BUANGKOK STN EXIT B,SENGKANG CTRL,
0,67629,BLK 557,BUANGKOK DR,
0,67771,BLK 995B,BUANGKOK DR,
0,67791,OPP BLK 415A,BUANGKOK DR,
0,67781,OPP BLK 408A,BUANGKOK DR,
0,67061,AFT JLN SELASEH,YIO CHU KANG RD,
0,67071,BEF GERALD DR,YIO CHU KANG RD,
0,64129,BLK 988B,YIO CHU KANG RD,
0,64119,BLK 953,YIO CHU KANG RD,
0,64109,GRACEHAVEN S ARMY,YIO CHU KANG RD,
0,63219,BEF YIO CHU KANG CHAPEL,YIO CHU KANG RD,
0,63209,PARKWOOD RESIDENCES,YIO CHU KANG RD,
0,63199,AFT PHILLIPS AVE,YIO CHU KANG RD,
0,63189,AFT S'GOON GDN WAY,YIO CHU KANG RD,
0,63179,BEF TAI SENG CHR CH,YIO CHU KANG RD,
0,63369,S'GOON SPORTS CPLX,YIO CHU KANG LINK,
0,66379,BLK 206,S'GOON CTRL,
0,66359,S'GOON STN EXIT C/BLK 201,S'GOON CTRL,
0,62179,BLK 421,S'GOON CTRL,
0,62169,BLK 426,S'GOON AVE 1,
0,62159,OPP RINDU TERR,S'GOON AVE 1,
0,61121,OPP BLK 212,BIDADARI PK DR,
0,68009,WOODLEIGH INT,BIDADARI PK DR,
1,68009,WOODLEIGH INT,BIDADARI PK DR,
1,61129,BLK 212,BIDADARI PK DR,
1,62151,RINDU TERR,S'GOON AVE 1,
1,62161,ST. GABRIEL'S SEC SCH,S'GOON AVE 1,
1,62171,BLK 409,S'GOON CTRL,
1,66351,S'GOON STN EXIT E,S'GOON CTRL,
1,66371,BLK 261,S'GOON CTRL,
1,63361,OPP S'GOON SPORTS CPLX,YIO CHU KANG LINK,
1,63181,BEF ST. HELIER'S AVE,YIO CHU KANG RD,
1,63191,AFT S'GOON NTH AVE 1,YIO CHU KANG RD,
1,63201,AFFINITY AT SERANGOON,YIO CHU KANG RD,
1,63211,BLK 138,YIO CHU KANG RD,
1,64101,OPP GRACEHAVEN S ARMY,YIO CHU KANG RD,
1,64111,OPP BLK 953,YIO CHU KANG RD,
1,64121,AFT ANG MO KIO AVE 5,YIO CHU KANG RD,
1,67079,CH OF ST. VINCENT DE PAUL,YIO CHU KANG RD,
1,67069,BEF JLN SELASEH,YIO CHU KANG RD,
1,67789,BLK 409A,BUANGKOK DR,
1,67799,BLK 415A,BUANGKOK DR,
1,67779,OPP BLK 995C,BUANGKOK DR,
1,67621,BLK 278 CP,BUANGKOK DR,
1,67609,BUANGKOK STN EXIT A,SENGKANG CTRL,
1,67619,BLK 201C,SENGKANG CTRL,
1,67449,BLK 323B,SENGKANG EAST RD,
1,67419,SENGKANG GENERAL HOSP,SENGKANG EAST RD,
1,67599,OPP BLK 293D,SENGKANG EAST RD,
1,65439,BLK 220C,PUNGGOL WAY,
1,65571,BLK 218,PUNGGOL FIELD,
1,65551,BLK 227A,PUNGGOL FIELD,
1,65541,BLK 228B,SUMANG CRESCENT,
1,65531,BLK 226A,SUMANG LANE,
1,65491,OPP BLK 259 CP,SUMANG WALK,
1,65609,SUMANG STN EXIT A,PUNGGOL CTRL,
1,65619,NIBONG STN EXIT A,PUNGGOL WAY,
1,65641,MARINA COUNTRY CLUB,NORTHSHORE DR,
1,65651,BLK 413C,NORTHSHORE DR,
1,65661,BLK 421C,NORTHSHORE DR,
1,65689,AFT NORTHSHORE CRES,NORTHSHORE DR,
1,65711,BLK 446B,NEW PUNGGOL RD,
1,69009,PUNGGOL COAST INT,SENTUL WK,
